tier,leagueId,queue,name,date,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,Pjrx-ELEhonNG9Op7mZnIuYptp8H4Jk_XbkYSnKhjVxReaI,DEEP MISERY,664,I,198,161,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,Nun5Wfsld5TdaycnOZqGnjsTVWcOenfDbaLndIBnPfWgsjmk,MR DOGFOOD,725,I,438,397,False,False,True,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,0cVA4YTj0TXZsZZ0bp_EPBlrJ599EiFqaVQRjNX9cjUR6SiH,Noob Riven Guy,724,I,122,91,False,False,True,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,kFK073YqxJKiRNwee0m1q6XZBTYtnDVwiFpvBD3_IY2Mcqo,Marksboy,616,I,121,100,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,1T3oaKKEsKmRoC45ZThLX_bftCirI1FSoaPz8jsox6oXMfk,Wofye,524,I,140,120,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,VkAqZj3AHLi8EMyLay79xRGWX5cVYOOmE33XVmmOto38xMM,DendyCheches,597,I,128,109,True,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,YvG2WEINWCP_9YtzcYngIKJ0UAz8S094XwSeMf4ctRqqzOQ,yours sincerely,636,I,91,70,False,False,False,True
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,TmSwJkZ-odpnK7mml6cukeVrHvH_Ltf0f2SFhvz5OhvR4Io,Klss,522,I,246,206,False,False,True,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,c9rIIejyEbzpPp5d7g2bIDZQvxP-b-H9aO_YFKFMQBUwz0Aj,Legalist,524,I,171,155,False,False,True,True
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,V_kSCuhsfksYdyu-rQaZ8LuthnsseHy8-h6xw7XwYVq46vUe,PRINCEMPERORGOD,538,I,469,448,False,False,False,False
GRANDMASTER,f238e575-fb80-33d0-9945-df054bcf9b10,RANKED_SOLO_5x5,Zilean's Enforcers,2023-12-10,kwW8NX7wtk7XxINw4GGxD995Y4C-v0Q2A8lA8xGLtFgbb5E,Doctor Doom,649,I,274,258,False,False,False,False
